PropertyAddressFull,AreaLotSF
899 BENSON WAY,11929.0
1119 COVENTRY DR,13200.0
1131 LA JOLLA DR,29273.0
3126 ADIRONDACK CT,7400.0
1883 BURNING TREE DR,7150.0
4856 COYOTE WELLS CIR,6579.0
823 BROSSARD DR,6510.0
538 HOUSTON DR,11928.0
5699 STARWOOD CT,2145.0
2020 UPPER RANCH RD,138390.0
757 BROSSARD DR,4804.0
3998 AVENIDA VERANO,28673.0
1300 LAKEWOOD CT,2508.0
156 GAZANIA CT,435.0
2424 CALLE GLADIOLO,10250.0
25 MCAFEE CT,920.0
657 RACQUET CLUB LN,2108.0
2104 GLASTONBURY RD,47671.0
252 VIA COLINAS,1332.0
1781 E AVENIDA DE LAS FLORES,3920.0
867 MASTERSON DR,7200.0
1662 ORINDA CT,3920.0
1685 E AVENIDA DE LAS FLORES,3920.0
348 CHESTNUT HILL CT APT 17,2178.0
793 CALLE CATALPA,10700.0
149 GALSWORTHY ST,12765.0
2975 E THOUSAND OAKS BLVD,5850.0
567 BENSON WAY,5625.0
2583 MANCHESTER CT,8637.0
1177 MONTE SERENO DR,871.0
2196 RUSTICPARK CT,6100.0
1349 CALLE PIMIENTO,12500.0
1342 CALLE PIMIENTO,10450.0
1984 OLIVEWOOD CT,2350.0
1742 TUBBS ST,10422.0
874 VINTON CT,5431.0
1526 HOLLY CT,4791.0
3976 VERDE VISTA DR,10621.0
2827 CAPELLA WAY,1733.0
92 MAEGAN PL APT 4,1200.0
634 KENDALE LN,3035.0
1244 KIRKFORD WAY,3049.0
1743 BOWCLIFF TER,11633.0
2715 BLANK PURSUANT CA GC62,10800.0
1984 MEADOW BROOK CT,6327.0
129 W GAINSBOROUGH RD,9000.0
2941 WILLOW LN,12000.0
3108 WHITE CEDAR PL,2081.0
3177 E THOUSAND OAKS BLVD,9500.0
2639 CALLE MANZANO,10000.0
881 WARWICK AVE,1354.0
1119 COUNTRY VALLEY RD,47916.0
1360 CALLE DURAZNO,12012.0
4108 OAK PLACE DR,24911.0
2911 SHADOW BROOK LN,5227.0
80 LONGFELLOW ST,7488.0
842 BURY CIR,9840.0
1845 ALEPPO CT,3920.0
179 HELECHO CT,1742.0
1394 REDSAIL CIR,5426.0
4014 CORTE CANCION,17293.0
2230 KELMSCOTT CT,15193.0
2093 HILLSBURY RD,10816.0
2085 HILLSBURY RD,12575.0
694 N CONEJO SCHOOL RD,10432.0
255 SEQUOIA CT APT 15,2613.0
360 QUEENSBURY ST,9067.0
2062 BROOKFIELD DR,10018.0
459 RAMBLE RIDGE DR,8025.0
1264 LYNNMERE DR,21847.0
881 E THOUSAND OAKS BLVD,3876.0
970 RANCHO RD,20357.0
2148 LOS FELIZ DR,1706.0
61 N OAKVIEW DR,6463.0
3550 E THOUSAND OAKS BLVD,98881.0
95 DUESENBERG DR,93046.0
WESTLAKE BLVD,57345.0
911 HAMPSHIRE RD,63128.0
2453 BLANK PURSUANT CA GC62 ST,4791.0
842 COMBES AVE,10329.0
E OLSEN RD AT MOORPARK FWY,47916.0
,17997016.0
CALLE YUCCA,3090.0
4910 READ RD,240886.0
RAYBURN ST,68966.0
1593 BRENTFORD AVE,6928.0
3510 N MOORPARK RD,22500.0
491 W GAINSBOROUGH RD,389862.0
2650 WILLOW LN,71002.0
1489 E THOUSAND OAKS BLVD,60548.0
601 HAMPSHIRE RD,596336.0
650 S WESTLAKE BLVD,7737.0
850 WARWICK AVE,102801.0
4590 E THOUSAND OAKS BLVD,50965.0
4035 E THOUSAND OAKS BLVD,121532.0
2955 N MOORPARK RD,29000.0
1901 LOS FELIZ DR,213895.0
300 ROLLING OAKS DR,507474.0
1610 E THOUSAND OAKS BLVD,98881.0
2835 TOWNSGATE RD,22652.0
3592 WILLOW LN,25826.0
1394 E HILLCREST DR,219157.0
351 HODENCAMP RD,443505.0
103 CUNNINGHAM RD,15352.0
,435600.0
3129 SIERRA DR,7000.0
1651 RYDER CUP DR,5543.0
2682 HARTLAND CIR,6098.0
1133 GLENBRIDGE CIR,6098.0
1295 LANDSBURN CIR,3049.0
2219 GLASTONBURY RD,9607.0
2225 GLASTONBURY RD,9785.0
2570 OAKSHORE DR,5500.0
2539 NORTHLAKE CIR,2494.0
1240 S WESTLAKE BLVD STE 223,1080.0
1825 ALEPPO CT,3920.0
2937 CALLE LACOTA,11120.0
967 CAMINO LA MAIDA,10880.0
982 CAMINO LA MAIDA,11050.0
161 DUESENBERG DR,83635.0
3292 BLUE RIDGE CT,7152.0
511 OAKHAMPTON ST,40041.0
3038 WINDING LN,3920.0
1499 CALLE MORERA,17946.0
343 BRIAR BLUFF CIR,62280.0
2732 HILARY CT,7904.0
2926 RALEIGH PL,13176.0
2306 LAURELWOOD DR,6132.0
1195 E THOUSAND OAKS BLVD,14300.0
60 CUNNINGHAM RD,25375.0
1344 E THOUSAND OAKS BLVD,15822.0
1344 E THOUSAND OAKS BLVD,20037.0
1302 E THOUSAND OAKS BLVD,8771.0
1201 E THOUSAND OAKS BLVD,23350.0
925 S WESTLAKE BLVD,72876.0
510 KNOLLVIEW LN,2162.0
3342 INDIAN MESA DR,5647.0
1245 CALLE ARROYO,33400.0
1075 CALLE LAS TRANCAS,20615.0
763 CAMINO DOS RIOS,21278.0
1986 CALLE YUCCA,26946.0
905 CALLE BRUSCA,26913.0
653 CALLE SEQUOIA,33900.0
631 CALLE SEQUOIA,35932.0
1287 CAMINO MAGENTA,20800.0
1851 CALLE YUCCA,21541.0
99 LONG CT,24736.0
75 LONG CT,26141.0
595 N MOORPARK RD,30167.0
MOORPARK RD,6970.0
59 MOODY CT,7415.0
2139 THRUSH AVE # SO-2139J,103237.0
4576 SAVIERS RD # 35,863.0
3754 ALMOND DR,10152.0
3736 ALMOND DR,24485.0
4501 W CHANNEL ISLANDS BLVD UNIT 42,0.0
4501 W CHANNEL ISLANDS BLVD UNIT 65,0.0
140 PASADENA AVE,2450.0
2753 BOLKER DR,2613.0
3042 CONCORD DR,2613.0
865 S B ST APT N3,1146.0
512 E BARD RD,1112.0
1347 E STROUBE ST,59677.0
115 JENSEN CT,22002.0
12 CONEJO BLVD,86684.0
110 E THOUSAND OAKS BLVD,27269.0
75 W THOUSAND OAKS BLVD,84942.0
755 BARD RD,13356.0
755 BARD RD,56252.0
613 ISLAND VIEW CIR,1240.0
202 OCEAN DR,1400.0
844 S A ST,7000.0
300 W 5TH ST,9300.0
,9296.0
844 S A ST,7000.0
S OXNARD BLVD AT COMMERCIAL AVE,3250.0
121 E COLLINS ST,218236.0
150 NEWBURY LN,6600.0
,1175684.0
,904741.0
,5339585.0
,60113.0
,450.0
,1742.0
,917809.0
,709248.0
,1241895.0
,4750.0
,4969.0
,1627401.0
,3274759.0
PEACOCK CT,389426.0
2361 E THOUSAND OAKS BLVD,24028.0
3378 LOS ROBLES RD,14507.0
1600 CROWN RIDGE CT,135036.0
1964 E THOUSAND OAKS BLVD,21050.0
1874 DAWN MEADOW ST,60113.0
1838 DAWN MEADOW ST,131006.0
1820 DAWN MEADOW ST,90851.0
1530 BERRYHILL CIR,101530.0
885 WESTBEND RD,148540.0
GREENWICH DR,7600.0
3077 WILLOW LN,17250.0
,11738.0
,37179.0
,829382.0
,8722.0
,24061.0
,16084.0
,13120.0
,10890.0
,22169.0
48 CANTERA ST,11154.0
695 COUNTRY VALLEY RD,92783.0
1551 BURNING TREE DR,6233.0
1590 LA GRANADA DR,23357.0
568 TIMBERWOOD AVE,5406.0
1145 NOTTINGWOOD CIR,6098.0
1469 VALECROFT AVE,9360.0
1162 S WESTLAKE BLVD UNIT F,3920.0
2820 E THOUSAND OAKS BLVD,10200.0
797 VIA COLINAS,1251.0
1619 VALECROFT AVE,9000.0
1679 ORINDA CT,3920.0
3174 LOS FELIZ DR,29229.0
2378 MCCREA RD,15707.0
1804 ORINDA CT,3920.0
1125 MONTE SERENO DR,871.0
1141 E THOUSAND OAKS BLVD,7900.0
2011 SHADY BROOK DR,5242.0
2725 AGOURA RD,27200.0
2830 LIMESTONE DR,2230.0
